Name,Category,Description,Technologies,Topics,URL,Image URL,_2016_num_projects,_2016_projects_url,_2017_num_projects,_2017_projects_url,_2018_num_projects,_2018_projects_url,_2019_num_projects,_2019_projects_url,_2020_num_projects,_2020_projects_url,_2021_num_projects,_2021_projects_url,_2022_num_projects,_2022_projects_url,_2023_num_projects,_2023_projects_url,_2024_num_projects,_2024_projects_url,years,github
3DTK,Science and medicine,The 3D Toolkit provides algorithms and methods to process 3D point clouds,"c, c++, ros, opencv, cmake, boost","robotics, 3d, slam, mapping, point clouds",http://threedtk.de,https://lh3.googleusercontent.com/5bb1zuSJfNaskJVgD5jO4Mdzamk1udiUH1BXVSzMcM8fB-kIy62kBFS6MtQj1EW445ZkQ1BWlvJL2oXRJNqsYBcmPWpSXng,N/A,N/A,N/A,N/A,2,https://summerofcode.withgoogle.com/archive/2018/organizations/5685665089978368/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018,https://sourceforge.net/p/slam6d/code/HEAD/tree/trunk/
52Â°North Spatial Information Research GmbH,Science and medicine,Innovative ideas & technologies in geoinformatics,"javascript, java, web services, ogc standards, web, spring, r, big data, android, python, react","geoinformatics, sensor web, web-based geoprocessing, spatial data, earth observation, spatial data infrastructures, spatial information, geoprocessing, remote sensing, geostatistics, floating car data, ogc, web processing, sensorweb, web services, ogc standards, trajectory analytics, citizen science, spatial information infrastructures, open standards, geoinformation systems, data analytics, Geoinformation",https://52north.org/,https://summerofcode.withgoogle.com/media/org/52north-spatial-information-research-gmbh/gzamo2sqfwcmcobt-360.png,3,https://summerofcode.withgoogle.com/archive/2016/organizations/5429283996565504/,1,https://summerofcode.withgoogle.com/archive/2017/organizations/4959751460880384/,1,https://summerofcode.withgoogle.com/archive/2018/organizations/5067792839606272/,2,https://summerofcode.withgoogle.com/archive/2019/organizations/6331236958601216/,3,https://summerofcode.withgoogle.com/archive/2020/organizations/6309633414660096/,3,https://summerofcode.withgoogle.com/archive/2021/organizations/5129526253715456/,5,https://summerofcode.withgoogle.com/archive/2022/organizations/52north-spatial-information-research-gmbh/,3,https://summerofcode.withgoogle.com/programs/2023/organizations/52north-spatial-information-research-gmbh,2,https://summerofcode.withgoogle.com/programs/2024/organizations/52north-spatial-information-research-gmbh,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://github.com/52north
AFLplusplus,Security,State of the art fuzzing for better security,"c, c++, llvm, fuzzing, qemu, sanitizers, rust, instrumentation","bug finding, fuzzing, software testing, secure development, instrumentation, ci",https://aflplus.plus,https://summerofcode.withgoogle.com/media/org/aflplusplus/dw8yelaswljerorz-360.png,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,https://summerofcode.withgoogle.com/archive/2020/organizations/6438212253253632/,2,https://summerofcode.withgoogle.com/archive/2021/organizations/5090910303420416/,1,https://summerofcode.withgoogle.com/archive/2022/organizations/aflplusplus/,2,https://summerofcode.withgoogle.com/programs/2023/organizations/aflplusplus,2,https://summerofcode.withgoogle.com/programs/2024/organizations/aflplusplus,"2020, 2021, 2022, 2023, 2024",https://github.com/aflplusplus
AOSSIE,End user applications,Australian Umbrella Org for Open-Source Projects,"scala, android/ios, html, css, javascript, automated reasoning, xcode, isabelle proof assistant, browser extension, android, ios, python, swift, kotlin, machine learning, Blockchain, flutter","environment, electronic voting, natural language processing, logic, philosophy, machine learning, social science, web, mobile, backend",https://www.aossie.org,https://summerofcode.withgoogle.com/media/org/aossie/oo1wd34pc1ytrq6a-360.png,N/A,N/A,13,https://summerofcode.withgoogle.com/archive/2017/organizations/4780102642565120/,13,https://summerofcode.withgoogle.com/archive/2018/organizations/6209824106741760/,18,https://summerofcode.withgoogle.com/archive/2019/organizations/4551437139312640/,9,https://summerofcode.withgoogle.com/archive/2020/organizations/5037209255673856/,11,https://summerofcode.withgoogle.com/archive/2021/organizations/5135086290206720/,8,https://summerofcode.withgoogle.com/archive/2022/organizations/aossie/,6,https://summerofcode.withgoogle.com/programs/2023/organizations/aossie,18,https://summerofcode.withgoogle.com/programs/2024/organizations/aossie,"2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://github.com/aossie-org
AOSSIE - The Australian National University's Open-Source Software Innovation and Education,Science and medicine,Research-Intensive Open-Source Projects at Australia's Leading University,"python, postgresql, llvm, scala, lisp","privacy, health, logic, live programming, data analysis",https://cecs.anu.edu.au/current-students/student-opportunities/google-summer-code-anu,https://lh3.googleusercontent.com/XfzAMWazpWFv5aKpdEt9P6PMkHbX4Hz5LFbxdwNWnBiheiQKPYcUlbneEYs7ipnGdYTxnly9g6XCOF9jHm5lF2LxJxLYH0UJ,6,https://summerofcode.withgoogle.com/archive/2016/organizations/5127141637226496/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016,https://github.com/aossie-org
API Client Tools at Google,Programming languages,Industry-leading user experiences for networked APIs.,"rest, openapi, grpc, protocol buffers, rpc","automation, apis, code generation, api description",https://googleapis.github.io,https://lh3.googleusercontent.com/Wz1qKokD67uvVuu1FCoNqyl7dmYk19VC0UzGdQS1heA8QlzKQpzgJZ_DAD1g691sAQ7T_njEX_gP1ZnolJa0KytP6t1_Fds,N/A,N/A,N/A,N/A,N/A,N/A,1,https://summerofcode.withgoogle.com/archive/2019/organizations/6340359469137920/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2019,https://github.com/googleapis
API Dash,Development tools,Next-gen Open Source API DevTool,"flutter, api, nosql, dart","testing, api, developer tools, automation, app development",https://apidash.dev,https://summerofcode.withgoogle.com/media/org/api-dash/wgtarubdkvdp5qih-360.png,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://summerofcode.withgoogle.com/programs/2024/organizations/api-dash,2024,https://github.com/foss42/apidash
ASCEND,Science and medicine,Equation-solving software for engineering system modelling,"c, python, c++","engineering, simulation, system modelling, mathematical software, solver",http://ascend4.org/,https://lh3.googleusercontent.com/iCNS56WgOul5y7CrKGsNa3fZb93np1DLHvOJVD0UyfL2f1cXzPMOGBaKz-Lf9M9iJCHq2LgqzuqiyoKR3x48SiiEGCQFBQ,3,https://summerofcode.withgoogle.com/archive/2016/organizations/5175650340044800/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016,https://sourceforge.net/projects/ascend-sim/
AboutCode,Security,"Scan code for origin, license and vulnerabilities","python, javascript, c, c++, shell script, static analysis, nlp, automaton, search, postgresql, rust, django, postgres, Django+PostgreSQL, C/Rust/Go","free and open source software  license and origin, package and dependencies licensing and origin, package vulnerabilities and security, code scan and matching, code analysis and spdx, package managers, license-scan, oss licensing, copyright, license compliance, machine learning, software analysis, application security, dependencies, software composition analysis, software packages, scanning, vulnerabilities, SoftwareCompositionAnalysis, License, SBOM",https://aboutcode.org,https://summerofcode.withgoogle.com/media/org/aboutcode/pmcafargc6wvl1ck-360.png,N/A,N/A,4,https://summerofcode.withgoogle.com/archive/2017/organizations/6448304984424448/,N/A,N/A,3,https://summerofcode.withgoogle.com/archive/2019/organizations/5430785606156288/,5,https://summerofcode.withgoogle.com/archive/2020/organizations/6689005560659968/,4,https://summerofcode.withgoogle.com/archive/2021/organizations/5677990456852480/,5,https://summerofcode.withgoogle.com/archive/2022/organizations/aboutcode/,2,https://summerofcode.withgoogle.com/programs/2023/organizations/aboutcode,4,https://summerofcode.withgoogle.com/programs/2024/organizations/aboutcode,"2017, 2019, 2020, 2021, 2022, 2023, 2024",https://github.com/aboutcode-org
Academy Software Foundation,Media,Creating amazing OSS for Media & Entertainment.,"python, c, c++, opengl, rust","cloud computing, 2d/3d graphics, filmmaking, file formats, color management, graphics, media, animation, Visual Effects, Film",https://www.aswf.io/,https://summerofcode.withgoogle.com/media/org/academy-software-foundation/80y13ndf7guwxneb-360.png,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,https://summerofcode.withgoogle.com/archive/2020/organizations/6043464124334080/,N/A,N/A,0,https://summerofcode.withgoogle.com/archive/2022/organizations/academy-software-foundation/,N/A,N/A,N/A,N/A,2020,https://github.com/AcademySoftwareFoundation
